time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
8833930,0.000012,0.004082,0.000408,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
8843931,0.000013,0.004226,0.000389,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8853930,0.000012,0.004099,0.000405,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8863931,0.000012,0.004024,0.000415,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
8873930,0.000012,0.004103,0.000405,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8883931,0.000013,0.004218,0.000390,0,0,0,0,0.000000,0.000000,-4.000000,4.000000,0,-0.000000,0.000000
8893930,0.000013,0.004155,0.000398,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8903931,0.000012,0.004001,0.000418,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8913931,0.000012,0.003997,0.000419,0,0,0,0,0.000000,0.000000,4.000000,-2.000000,0,-0.000000,0.000000
8923931,0.000013,0.004130,0.000401,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
8933930,0.000012,0.004097,0.000406,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8957931,0.000012,0.003892,0.000433,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8967931,0.000012,0.004041,0.000413,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8977930,0.000012,0.003870,0.000435,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
